"wait_time","standby_time","calling_time","attendant_machine_id","service_room_id","pause_time","relocate","disconnected_by_attendant","ticket_priority","number_of_breaks","ticket_category","attendant_id","call_surplus","attendant_level","duration_categories","short_call","call_period","customer_time_talks","pause_time_category","region","out_average","resolved_tickets"
17,0,1,1305,7,0,1,1,5,1,1,4180026,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180025,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180021,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,0,0,5,0,1,4180008,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180023,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,0,0,5,0,1,4180001,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2475,7,0,1,1,4,1,1,4100038,2,1,"de 10 a 30 min",0,"tarde","até 1 min","longa","Sudeste",1,"True"
2,0,0,2475,7,0,1,1,4,1,1,4180042,2,1,"de 10 a 30 min",0,"tarde","até 1 min","longa","Sudeste",1,"True"
2,0,0,810,4,0,0,0,4,0,2,4684084,2,2,"de 10 a 30 min",0,"noite","de 10 a 30 min","rapida","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,2,4672882,2,2,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,126,6,0,1,1,4,1,5,4673858,2,5,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,2475,7,0,1,1,4,1,1,4180049,2,1,"de 10 a 30 min",0,"manhã","até 1 min","média","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,1,4675066,2,1,"de 10 a 30 min",0,"noite","de 10 a 30 min","rapida","Sudeste",1,"True"
17,0,0,1305,7,0,1,1,5,1,1,4100045,2,1,"de 5 a 10 min",0,"manhã","até 1 min","média","Sudeste",0,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100038,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180012,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,2326,7,0,0,0,5,0,1,4180030,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4180007,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4180017,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
2,0,0,128,6,0,1,1,4,1,1,4664313,2,1,"de 10 a 30 min",0,"manhã","de 10 a 30 min","rapida","Sudeste",1,"True"
2,0,0,128,6,0,1,1,4,1,9,4662039,2,9,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,810,8,0,0,0,4,0,1,4675298,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100042,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180043,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
3,0,1,2326,7,0,0,0,5,0,1,4100048,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4180010,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4100011,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180042,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2475,7,0,1,1,4,1,1,4100027,2,1,"de 10 a 30 min",0,"tarde","até 1 min","longa","Sudeste",1,"True"
5,0,1,1,7,0,1,1,4,1,1,4180033,2,1,"de 5 a 10 min",0,"tarde","até 1 min","média","Sudeste",0,"True"
5,0,1,1,7,0,1,1,4,1,1,4180030,2,1,"de 1 a 5 min",0,"manhã","até 1 min","média","Sudeste",0,"True"
5,0,1,1,7,0,1,1,4,1,1,4100012,2,1,"de 1 a 5 min",0,"manhã","até 1 min","rapida","Sudeste",0,"True"
5,0,1,1,7,0,1,1,4,1,1,4180020,2,1,"de 5 a 10 min",0,"tarde","até 1 min","média","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100039,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180016,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","média","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,1,4677297,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,810,8,0,1,1,4,1,1,4657042,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,810,8,0,0,0,4,0,1,4669760,2,1,"de 5 a 10 min",0,"manhã","de 5 a 10 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180038,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2326,7,0,1,1,5,1,1,4180047,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","média","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100048,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
4,0,0,1311,7,0,1,1,4,1,1,4100046,2,1,"de 5 a 10 min",0,"tarde","até 1 min","média","Sudeste",0,"True"
2,0,0,810,8,0,0,0,4,0,1,4582317,2,1,"de 10 a 30 min",0,"manhã","de 10 a 30 min","rapida","Sudeste",1,"True"
3,0,0,810,8,0,0,0,4,0,2,4583001,2,2,"de 10 a 30 min",0,"tarde","de 10 a 30 min","rapida","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100000,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
3,0,1,2326,7,0,0,0,5,0,1,4100003,2,1,"de 1 a 5 min",0,"tarde","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100045,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2475,7,0,1,1,4,1,1,4100035,2,1,"de 5 a 10 min",0,"manhã","até 1 min","média","Sudeste",0,"True"
3,0,1,2475,7,0,1,1,4,1,1,4180031,2,1,"de 10 a 30 min",0,"manhã","até 1 min","média","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100036,2,1,"de 10 a 30 min",0,"noite","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,0,0,5,0,1,4180030,2,1,"até 1 min",1,"noite","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180011,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180023,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,810,8,0,1,1,4,1,1,4671367,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180010,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
16,0,0,1305,7,0,0,0,5,0,1,4180047,2,1,"de 1 a 5 min",0,"manhã","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,0,0,5,0,1,4180046,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100011,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
16,0,0,1305,7,0,1,1,5,1,1,4180031,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180026,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100023,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180023,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100049,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2326,7,0,0,0,5,0,1,4100043,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180009,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180043,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
3,0,1,2326,7,0,0,0,5,0,1,4180001,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2475,7,0,1,1,4,1,1,4180017,2,1,"de 1 a 5 min",0,"tarde","até 1 min","média","Sudeste",0,"True"
3,0,1,2475,7,0,0,0,4,0,1,4180012,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,810,8,0,1,1,4,1,1,4677361,2,1,"de 10 a 30 min",0,"tarde","de 10 a 30 min","média","Sudeste",1,"True"
2,0,0,810,8,0,1,1,4,1,1,4677441,2,1,"de 5 a 10 min",0,"noite","de 1 a 5 min","média","Sudeste",1,"True"
2,0,0,810,8,0,1,1,4,1,1,4566706,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
4,0,0,1311,7,0,1,1,4,1,1,4180045,2,1,"de 5 a 10 min",0,"manhã","até 1 min","média","Sudeste",0,"True"
5,0,1,1311,7,0,1,1,4,1,1,4100047,2,1,"de 10 a 30 min",0,"manhã","até 1 min","média","Sudeste",1,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100007,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180012,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,1,4675255,2,1,"de 10 a 30 min",0,"manhã","de 10 a 30 min","rapida","Sudeste",1,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100042,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100038,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100010,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
4,0,0,1311,7,0,1,1,4,1,1,4180015,2,1,"de 5 a 10 min",0,"tarde","até 1 min","média","Sudeste",0,"True"
4,0,0,1311,7,0,1,1,4,1,1,4100031,2,1,"de 10 a 30 min",0,"tarde","até 1 min","longa","Sudeste",1,"True"
3,0,1,810,4,0,1,1,4,1,2,4684111,2,2,"de 5 a 10 min",0,"manhã","de 5 a 10 min","média","Sudeste",0,"True"
2,0,0,810,8,0,0,0,4,0,1,4675327,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
16,0,0,1305,7,0,1,1,5,1,1,4180047,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",1,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100005,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100026,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2326,7,0,0,0,5,0,1,4180038,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,810,8,0,0,0,4,0,1,4650254,2,1,"de 5 a 10 min",0,"noite","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,810,8,0,1,1,4,1,1,4600109,2,1,"maior que 30 min",0,"manhã","de 10 a 30 min","longa","Sudeste",1,"True"
3,0,1,810,8,0,1,1,4,1,1,4677426,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180012,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180002,2,1,"de 1 a 5 min",0,"noite","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4180010,2,1,"de 5 a 10 min",0,"noite","de 1 a 5 min","média","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,2,4590529,2,2,"de 10 a 30 min",0,"manhã","de 10 a 30 min","rapida","Sudeste",1,"True"
3,0,1,810,8,0,1,1,4,1,1,4602564,2,1,"de 10 a 30 min",0,"tarde","de 10 a 30 min","média","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,1,4513495,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100028,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,2326,7,0,1,1,5,1,1,4100005,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100042,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4180021,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4100026,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
